名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
誉峰,天河,珠江新城东,3室2厅,西南,102.5,120000,1170
华景新城绿茵居,天河,华景新城,4室0厅,东/西,52.0,5000,96
龙湖首开天宸原著,天河,黄村,5室2厅,南,88.5,18000,203
恒业大厦,天河,员村,4室1厅,南,60.0,8000,133
德埔小区,天河,石牌,2室1厅,南,35.5,4300,121
嘉裕公馆,天河,珠江新城中,3室3厅,西,76.5,22800,298
漫哈顿公寓,,,4室1厅,,124.0,36888,297
盛世国际物业,,,,,15.0,2450,163
骏景花园,天河,棠下,3室2厅,东南,52.5,5200,99
新岗栏东大院,天河,天河公园,1室0厅,北,10.5,1300,123
新世界凯粤湾,荔湾,滘口,4居室,北卧,11.0,1638,148
辉洋苑,荔湾,黄沙,4居室,西卧,39.5,1606,40
康乃馨苑,荔湾,坑口,2室1厅,北,68.0,3000,44
光复阁,荔湾,龙津,2室1厅,东南,26.5,3000,113
中海锦观华庭D区,荔湾,广钢新城,3室2厅,西南,46.5,5500,118
鉴寓公寓,,,1室1厅,,19.5,3880,198
金兰苑,荔湾,汾水,2室1厅,南,38.0,2800,73
花语水岸,荔湾,大坦沙,2室1厅,西,64.0,4200,65
荔新大厦,荔湾,西村,1室1厅,东南,20.5,2200,107
花语水岸,荔湾,大坦沙,3室3厅,北,44.5,5300,119
百合社区,,,,,11.5,2488,216
黄沙大道,荔湾,黄沙,2室1厅,西南,47.5,3800,80
中山八路,荔湾,中山八,2室1厅,,35.0,3700,105
时代印象,从化,太平镇,3室2厅,南,44.0,1600,36
碧桂园荔山雅筑,从化,赤草,3室2厅,北,54.5,1500,27
时代印象,从化,太平镇,1室0厅,东,42.0,300,7
新光百德广场,从化,太平镇,1室0厅,南,49.5,1200,24
时代印象,从化,太平镇,3室2厅,南,45.0,1900,42
时代印象,从化,太平镇,1室0厅,北,7.0,300,42
云星钱隆天誉,从化,太平镇,3室2厅,北,47.5,1700,35
富力泉天下,从化,温泉镇,2室1厅,东南,42.5,1800,42
富力泉天下,从化,温泉镇,1室1厅,北,34.5,1200,34
时代印象,从化,太平镇,3室2厅,东南,44.5,1600,35
人盛巴厘天地,从化,神岗镇,3室2厅,东北,50.5,1600,31
人盛巴厘天地,从化,神岗镇,3室2厅,东南,63.0,2000,31
珠江国际城,从化,神岗镇,3室2厅,东北,52.0,1800,34
泰沙路733号-739号宿舍(单号),海珠,金碧,3室2厅,南/北,59.5,2500,42
雅郡花园,海珠,万胜围,3室2厅,南,55.0,6800,123
拼图家园,,,,,10.0,900,90
本地房东,,,1室1厅,,10.0,1650,165
江南西路,海珠,江南西,2室3厅,东,22.5,3600,160
保利花园,海珠,工业大道中,4室2厅,东南,64.0,5800,90
光大花园榕城尚品公寓,海珠,工业大道北,1室0厅,西南,20.0,2700,135
聚雅苑,海珠,滨江东,3室2厅,东北,61.0,9500,155
南都物业,,,1室1厅,,27.5,3580,130
雅景苑,海珠,滨江东,3室1厅,,59.5,4200,70
世港花园,海珠,磨碟沙,1室0厅,南,40.0,5000,125
赤岗二街1号大院,海珠,赤岗,2室1厅,南,23.0,2300,100
东晓花园,海珠,东晓路,2室1厅,南,36.0,3600,100
保利天悦,海珠,万胜围,3室2厅,北,55.5,12000,216
粤来租,,,1室1厅,,10.0,2000,200
奥园城市天地,番禺,汉溪长隆,3室2厅,南,48.0,8300,172
亚运城天骄,番禺,亚运城,3室2厅,南,51.0,3400,66
亚运城天峯3区,番禺,亚运城,4室2厅,南,67.5,4300,63
金沙湾花园金沙御苑,番禺,沙湾,3室2厅,南/北,62.5,4300,68
碧桂园寓见亚运城,番禺,亚运城,2室1厅,南,27.5,3300,120
海怡花园,番禺,厦滘,2室2厅,南,38.0,4200,110
广州维多利亚公寓,,,2室1厅,,35.0,3700,105
奥园广场,番禺,桥南,1室1厅,南,20.0,1800,90
顿号青年社区,,,,,15.0,1450,96
碧桂园寓见亚运城,番禺,亚运城,2室1厅,北,27.5,3200,116
碧桂园寓见亚运城,番禺,亚运城,2室1厅,北,27.5,3100,112
方圆大学时光,番禺,大学城,1室0厅,西,15.0,3000,200
keymore奇莫服务式公寓,,,1室1厅,,41.0,9200,224
解放北路(越秀区),越秀,盘福,3室1厅,南/北,43.0,3200,74
麓景路,越秀,麓景,2室1厅,南,30.5,1800,59
房东直租,,,1室1厅,,9.0,3480,386
锦源国际公寓,越秀,北京路,1室0厅,东北,21.0,4800,228
城市摩登家公寓,,,1室1厅,,19.5,2380,122
深业金翠湾,白云,金沙洲,3室2厅,东南,110.0,6500,59
穗和名庭,白云,人和,2室2厅,南,59.5,2700,45
百信广场,白云,新市,1室0厅,南,21.5,3000,139
万庭TT电竞酒店,,,1室1厅,,15.0,7500,500
东呈酒店集团,,,,,12.5,4210,336
凯云新世界,白云,嘉禾望岗,3室2厅,东南,72.5,13000,179
外语外贸学院,白云,元下田,2室1厅,南,35.0,6000,171
润祥大厦,白云,京溪,2室2厅,西,46.5,4000,86
蓝天商贸园,白云,黄石,1室0厅,西南,16.5,1700,103
东呈酒店集团,,,,,12.5,7090,567
绿地云央,白云,太和,4室2厅,南,65.5,3300,50
东呈酒店集团,,,,,14.0,4806,343
东呈酒店集团,,,,,20.0,4800,240
富力城北区,白云,夏茅,5室2厅,东南,92.5,8000,86
梦享家·青年社区,,,,,15.0,1700,113
新世界云逸,白云,嘉禾望岗,4室2厅,东南,70.0,13000,185
怡港花园,黄埔,黄埔区府,4居室,北卧,40.0,1354,33
碧桂园星悦台,黄埔,黄埔永和,3室1厅,南,39.5,3200,81
华仔国际公寓,,,1室1厅,,20.0,2780,139
万科东荟城,黄埔,香雪,3室2厅,北,43.0,3800,88
黄埔花园,黄埔,黄埔区府,1室0厅,东,6.0,800,133
黄埔花园,黄埔,黄埔区府,3室1厅,东南,46.5,4500,96
华仔国际公寓,,,1室1厅,,20.0,2540,127
华仔国际公寓,,,1室1厅,,20.0,2500,125
悦涛雅苑,黄埔,黄埔区府,4居室,南卧,43.5,1218,28
越秀岭南雅筑,黄埔,香雪,2室1厅,北,38.5,2900,75
金碧世纪花园,黄埔,大沙地,4居室,南卧,7.5,2341,312
飞晟文汇,黄埔,香雪,4室2厅,南/北,71.5,5000,69
合景天峻,黄埔,知识城,1室1厅,南,21.0,1800,85
萝岗敏捷广场,黄埔,科学城,1室1厅,北,22.5,2000,88
佳兆业城市广场,黄埔,南岗,2室2厅,南,26.5,2500,94
线坑花园,黄埔,科学城,4居室,北卧,15.5,1501,96
保利香雪山花园,黄埔,科学城,5居室,北卧,9.0,1459,162
时代印记(广州),黄埔,知识城,3室2厅,,50.0,2500,50
大田花园,黄埔,黄埔区府,4居室,西卧,16.5,1113,67
寺右新马路,越秀,五羊新城,3室1厅,南,68.5,4800,70
珑遇,,,1室1厅,小北店,20.0,3000,150
文德路,越秀,北京路,2室1厅,,21.0,3600,171
房东直租,,,,,15.0,1780,118
云嘉倚翠公寓,,,1室1厅,,12.5,5500,440
东方金融大厦,越秀,东风西,1室0厅,东南,10.0,1100,110
miniG公寓,,,,,10.0,3500,350
miniG公寓,,,,,10.0,3800,380
房东直租,,,1室1厅,,21.0,2980,141
先烈中路81号大院,越秀,黄花岗,1室1厅,南,20.0,3180,159
雅景花园,越秀,水荫,4居室,南卧,9.5,2614,275
朗诗寓,,,1室1厅,,12.5,3380,270
丽景台,越秀,五羊新城,2室1厅,东南,35.0,6388,182
中山三路,越秀,东川路,1室0厅,东,15.0,2200,146
东风西路,越秀,东风西,3室1厅,南/北,37.5,2700,72
小北路,越秀,小北,3室1厅,南,30.0,5800,193
百合白领公寓,,,,,10.0,2600,260
百合白领公寓,,,,,11.5,3088,268
富力东山新天地,越秀,五羊新城,5居室,南卧,15.0,1848,123
东园新村,越秀,东山口,2室1厅,南,29.5,4200,142
小北路,越秀,小北,2室2厅,东/西,43.0,4000,93
玥秀轩,越秀,小北,2室1厅,南,20.0,3000,150
淘金家园二三期,越秀,淘金,4居室,东北卧,9.0,2688,298
大新路,越秀,解放南,3室2厅,东,56.0,6800,121
嘉富广场,越秀,水荫,4居室,南卧,43.0,2236,52
政通路(白云),白云,三元里,3室2厅,南,46.5,2500,53
汇侨新城东区,白云,新市,3室2厅,东,43.0,2500,58
盒子空间·汇侨酒店,,,1室1厅,,10.0,3200,320
时代玫瑰园,白云,黄边,3室2厅,南,58.5,5500,94
祥景花园雍翠园,白云,黄石,2室2厅,南/北,79.0,5000,63
利都大厦,白云,新市,1室1厅,西南,20.0,1900,95
中国铁建西派云峰,白云,江夏,4室2厅,东南,94.0,30100,320
盒子空间·汇侨酒店,,,1室1厅,,11.0,3500,318
红林物业,,,1室1厅,,17.5,3880,221
顺丰翠园,白云,石井,2室2厅,东北,37.0,3000,81
华宇苑,白云,罗冲围,2室1厅,东北,75.5,2200,29
红林物业,,,1室1厅,,17.5,3880,221
利都大厦,白云,新市,1室1厅,东,15.0,1600,106
富力城南区,白云,夏茅,3室2厅,东南,44.5,3600,80
时代印记(广州),黄埔,知识城,3室1厅,南/北,44.0,2000,45
文冲商贸大厦,黄埔,文冲,3居室,南卧,33.5,1501,44
中海誉城北苑,黄埔,香雪,5居室,南卧,33.0,1953,59
海丝知识中心,黄埔,知识城,1室1厅,东北,54.0,1900,35
豫章苑,黄埔,大沙地,4居室,北卧,24.0,1291,53
瑞东花园,黄埔,文冲,4居室,西卧,4.5,1323,294
天健天玺,黄埔,长岭居,4室2厅,南,46.5,4200,90
保利罗兰国际,黄埔,科学城,4居室,南卧,48.5,1323,27
万科东荟城,黄埔,香雪,4居室,北卧,7.5,1774,236
黄埔万科中心,黄埔,文冲,1室1厅,西南,19.5,2750,141
时代天逸,南沙,黄阁,4室1厅,南,82.5,3500,42
南沙万达广场,南沙,金洲,1室1厅,南,34.0,1600,47
富力天海湾,南沙,明珠湾,3室2厅,,49.0,2000,40
星河智荟,南沙,明珠湾,3室2厅,北,44.0,3000,68
金科博翠明珠,南沙,明珠湾,4室2厅,南,64.5,4000,62
中海联南沙国贸中心,南沙,金洲,2室1厅,南/北,29.0,1800,62
时代南湾,南沙,南沙港,1室0厅,东南,6.5,300,46
南沙万达广场,南沙,金洲,1室1厅,南,24.5,1500,61
越秀天珹,南沙,金洲,4室2厅,南,63.0,3500,55
南沙建滔广场,南沙,南沙区府,3室3厅,东南,114.0,12540,110
越秀国际总部广场,南沙,金洲,3室2厅,南,31.5,2800,88
阳光城丽景湾,南沙,进港大道,3室2厅,南/北,66.5,2800,42
富力天海湾,南沙,明珠湾,1室1厅,东南,25.0,1800,72
越秀国际总部广场,南沙,金洲,2居室,南卧,15.0,1700,113
阳光城丽景湾·星悦,南沙,进港大道,4室2厅,东/南,60.0,3200,53
越秀东坡,南沙,进港大道,3室2厅,南,48.5,2500,51
南沙万达广场,南沙,金洲,1室0厅,南,45.0,3500,77
星河山海湾,南沙,南沙港,4室2厅,东南,67.5,2600,38
保利南沙天汇,南沙,黄阁,3室2厅,南,81.5,2000,24
领南星河荣誉,南沙,南沙港,4室2厅,南,62.0,3200,51
逸涛半岛,南沙,进港大道,3室2厅,南,58.0,4200,72
中惠璧珑湾,南沙,南沙区府,3室2厅,东北,67.5,3600,53
南沙碧桂园,南沙,金洲,3室2厅,南,64.5,1900,29
佳兆业凤鸣山,南沙,黄阁,3室2厅,北,43.5,1800,41
优山美墅,南沙,南沙港,3室1厅,南,40.5,1700,41
中大城,南沙,金洲,2室1厅,,25.0,1500,60
星河智荟,南沙,明珠湾,3室2厅,东北,44.5,2900,65
中国铁建海语熙岸,南沙,南沙区府,4室2厅,南,59.5,3500,58
越秀国际总部广场,南沙,金洲,4室2厅,东南,71.0,1000,14
珠江源昌花园,南沙,横沥,2室2厅,东南,28.5,2100,73
雅怡居,天河,东圃,2室1厅,东南,25.0,3200,128
新华路,花都,旧区,2室1厅,南/北,18.5,1000,54
翠华花园,花都,铁路西,3室2厅,北,60.0,2000,33
富力金港城南区,花都,花东镇,3室2厅,北,47.0,2300,48
富力金港城南区,花都,花东镇,3室2厅,南,51.0,2500,49
雅居乐御宾府,花都,新区,4室2厅,东,73.5,4300,58
金联市场,花都,旧区,2室1厅,南,28.5,1100,38
科技楼,花都,旧区,3室2厅,,60.0,1300,21
花都晓翠苑,花都,新区,4室2厅,南,110.0,4200,38
嘉汇城二期,花都,镜湖大道,3室2厅,南/北,57.5,2300,40
广州融创文旅城商务公寓,花都,花城街,1室1厅,南,23.0,1500,65
碧桂园星港国际,花都,新区,1室1厅,南,68.0,6500,95
广州融创文旅城商务公寓,花都,花城街,1室1厅,南,61.0,1600,26
富力金港城南区,花都,花东镇,2室2厅,南,41.0,1800,43
阳光雅居,花都,旧区,3室2厅,南/北,70.0,2000,28
碧桂园星港国际,花都,新区,2室1厅,南,30.0,2300,76
陈岗路,荔湾,流花站前,2室1厅,东南,21.0,2000,95
城启荔港南湾,荔湾,南岸路,3室1厅,东南,44.0,4500,102
花蕾路,荔湾,花地湾,2室1厅,南,30.5,1800,59
房东直租,,,,,20.0,2380,119
碧桂园朝花,荔湾,鹤洞,3居室,西南卧,9.5,1100,115
城启晴轩,荔湾,西关,2室1厅,西,35.0,4100,117
房东直租,,,1室1厅,,20.0,4980,249
宝华路(荔湾),荔湾,西关,3室1厅,东,50.0,3300,66
华发荔湾荟,荔湾,滘口,4室2厅,南,68.5,6500,94
房东直租,,,1室1厅,,17.5,2680,153
金达阁,荔湾,芳村,2室1厅,南/北,25.0,2000,80
一心租房,,,1室1厅,,12.5,2688,215
天成路,荔湾,人民路,2室1厅,东/西,25.0,1800,72
广雅路,荔湾,西村,1室0厅,西南,12.5,1200,96
壹诚大厦,荔湾,东塱,2室1厅,东南,17.5,3000,171
怡居.,,,1室1厅,,19.0,3080,162
尚岛国际,番禺,南浦,1室1厅,东南,40.0,8000,200
豪毅家园,,,1室1厅,,25.0,1900,76
税务综合楼,番禺,大石,1室1厅,南,23.0,2000,86
豪毅家园,,,1室1厅,,22.5,2140,95
塞纳河五星公寓,,,3室1厅,,35.0,3498,99
众创物业,,,,,14.0,780,55
番禺万达广场,番禺,万博,3室1厅,西南,57.0,9500,166
亚运城天誉,番禺,亚运城,2室2厅,北,49.5,2700,54
粤湾公寓,,,,,13.75,1099,79
喜盈雅境,番禺,桥南,3室2厅,南,49.0,3500,71
广州雅居乐花园雅逸庭,番禺,雅居乐,1室0厅,南,5.5,350,63
广地花园,番禺,星河湾,2室1厅,南,52.5,3300,62
招商城市主场,番禺,万博,3室1厅,南,36.0,6000,166
富都城,番禺,市桥,2室1厅,南,34.5,2200,63
顺德碧桂园芷兰湾,番禺,顺德碧桂园,2室2厅,南,72.0,2300,31
众创物业,,,,,14.0,600,42
星河湾半岛一号园,番禺,厦滘,5室2厅,南/北,153.5,40000,260
怡居.,,,1室1厅,同福西,17.5,2180,124
中山大学宿舍,海珠,中大,2室2厅,南,31.0,3800,122
梦享社区青年公寓,,,,北山店,14.0,1750,125
微社区,,,,,7.5,1100,146
粤信广场阳光公寓,海珠,赤岗,2室1厅,南,45.0,7500,166
琶洲新村,海珠,万胜围,1室1厅,西,28.0,5300,189
怡居.,,,1室1厅,同福西,15.0,1880,125
东呈酒店集团,,,,,15.0,6904,460
东呈酒店集团,,,,,15.0,7319,487
瑞康大厦,海珠,新港西,3室1厅,南,35.0,3500,100
绿地滨江汇,海珠,工业大道中,1室0厅,,6.5,750,115
保利天悦花园,海珠,万胜围,1室0厅,南,6.0,750,125
晓港湾,海珠,东晓南,1室0厅,南,6.5,950,146
珠江帝景苑,海珠,滨江东,1室0厅,南/北,9.5,1800,189
珠江大家庭花园,海珠,琶洲中,2室2厅,南/北,35.5,4000,112
珠江大家庭花园,海珠,琶洲中,3室2厅,北,61.0,7500,122
金地荔湖城公园上城,增城,永宁,2室2厅,南,55.0,1500,27
太平洋花园,增城,白江,3室2厅,南,59.0,2000,33
创基丽江国际,增城,增城区府,3室1厅,东南,107.0,3300,30
碧桂园凤凰城凤天苑,增城,凤凰城,3室2厅,南,52.5,2500,47
东凌广场,增城,凤凰城,1室1厅,东,21.0,1500,71
保利中航城花园一期,增城,朱村,3室2厅,南,48.0,1999,41
华润置地公园上城,增城,沙村,3室2厅,北,45.0,2800,62
金众江悦府,增城,石滩镇,4室2厅,西北,50.5,2200,43
科慧花园,增城,朱村,4室2厅,南,59.0,2200,37
合汇·中央广场,增城,荔城中区,5室2厅,南,90.0,10000,111
合景誉山国际,增城,永宁,1室1厅,南,26.0,1500,57
时代名著(增城),增城,朱村,3室2厅,南,38.0,1500,39
新康花园,增城,白江,5室2厅,南,55.0,2000,36
奥园康威广场,增城,新塘北,2室1厅,东,25.5,1600,62
金马香颂居,增城,荔城西区,3室2厅,南/北,55.0,1800,32
奥园康威广场,增城,新塘北,2室1厅,东,25.5,1700,66
力诚凯怡湾,增城,新塘南,3室2厅,北,64.5,1800,27
华润置地公园上城,增城,沙村,4室2厅,南,52.5,3200,60
碧桂园云顶,增城,凤凰城,3室1厅,东,45.0,2600,57
新都盛世名门宏城汇,增城,白江,1室1厅,南,14.0,1400,100
江畔豪庭,增城,增城区府,3室2厅,南,42.0,2300,54
锦绣新天地,增城,新塘南,3室1厅,北,50.5,2600,51
荔富湖畔,增城,朱村,2室2厅,南,50.0,1800,36
合生湖山国际,增城,凤凰城,4室2厅,南,111.5,3600,32
碧桂园城市花园漫绿苑,增城,朱村,2室2厅,东,78.0,1700,21
广州敏捷绿湖首府三期,增城,石滩镇,3室2厅,东北,42.0,1200,28
碧桂园凤凰城凤晴苑,增城,凤凰城,2室2厅,南,40.0,2500,62
合景誉山国际,增城,永宁,3室2厅,南,42.5,1680,39
智汇国际,从化,太平镇,1室1厅,东南,64.5,2300,35
富力泉天下,从化,温泉镇,1室0厅,北,22.5,900,40
富力泉天下,从化,温泉镇,6室2厅,南,81.0,3900,48
珠江国际城,从化,神岗镇,3室2厅,东北,44.5,1300,29
紫泉翠荔嘉园,从化,太平镇,3室2厅,南,45.5,1800,39
景业荔都,从化,江浦街,3室2厅,南,67.0,2000,29
大城云山,从化,太平镇,3室2厅,,69.0,1800,26
保利半山花园,从化,江浦街,4室2厅,南,78.0,2100,26
人盛巴厘天地,从化,神岗镇,3室2厅,东南,51.0,1300,25
富力泉天下,从化,温泉镇,4室2厅,东北,83.0,3500,42
紫泉翠荔嘉园,从化,太平镇,3室2厅,东南,88.5,1800,20
时代印象,从化,太平镇,3室2厅,东北,44.0,2800,63
碧桂园荔山雅筑,从化,赤草,3室2厅,南/北,54.0,1500,27
富力泉天下,从化,温泉镇,5室2厅,东南,95.5,5800,60
景业荔都,从化,江浦街,2室2厅,北,41.0,1200,29
珠江国际城,从化,神岗镇,4室2厅,西南,72.0,1400,19
珠江国际城,从化,神岗镇,3室2厅,东北,57.0,1500,26
金燕花苑,天河,燕塘,3室1厅,东南,45.0,4000,88
粤海丽江花园,天河,珠江新城东,1室1厅,西北,28.5,7200,252
百合苑B区,天河,员村,4室2厅,东,61.0,5300,86
新大厦,天河,珠江新城西,4室2厅,东,91.5,16000,174
小新塘大未来,天河,智慧城,3室2厅,南,60.0,4400,73
金田花苑,天河,天润路,4居室,东北卧,14.0,2650,189
恒业大厦,天河,员村,2室2厅,北,45.0,5800,128
红林物业,,,1室1厅,东圃店,22.5,3880,172
南国嘉园,天河,东圃,2室1厅,东南,27.0,3600,133
新陶苑,天河,石牌,2室1厅,南,30.0,4000,133
红林物业,,,1室1厅,东圃店,22.5,3880,172
红林物业,,,1室1厅,东圃店,22.5,3880,172
光华大厦,天河,体育中心,2室2厅,东南,50.0,6000,120
红林物业,,,1室1厅,东圃店,22.5,3880,172
百合路38-64号宿舍（双号）,天河,员村,3室1厅,西,36.5,4200,115
红林物业,,,1室1厅,东圃店,22.5,3880,172
天河峰景,天河,燕塘,4室2厅,,73.5,6500,88
城投珠江天河壹品,天河,车陂,3室1厅,南,40.0,6000,150
安厦花园,天河,东圃,3室1厅,南,35.0,3300,94
协和新世界,天河,天润路,3室2厅,南,54.5,10000,183
珠光新城御景二期回迁房,天河,珠江新城东,3室1厅,东南,49.0,11000,224
中兴花园,天河,东圃,3室2厅,东北,41.0,4300,104
盛世国际物业,,,2室1厅,,25.0,3280,131
盛世国际物业,,,1室1厅,,15.0,2550,170
盛世国际物业,,,,,15.0,2380,158
盛世国际物业,,,1室1厅,,15.0,2980,198
万菱汇广场,天河,天河南,1室1厅,东,27.0,8000,296
盛世国际物业,,,1室1厅,,15.0,2530,168
东圃边检小区,天河,东圃,3室2厅,南,57.5,5200,90
碧桂园星港国际,花都,新区,3室1厅,南,35.5,3800,107
碧桂园星港国际,花都,新区,2室1厅,南,30.5,3200,104
恒大悦府,花都,花城街,3室2厅,北,47.5,3500,73
祈福都会花园,花都,花山镇,3室2厅,北,45.0,1700,37
岭南公馆,花都,新区,3室2厅,东南,111.5,3800,34
祈福天龙苑,花都,铁路西,4室2厅,南,110.0,3500,31
祈福都会花园,花都,花山镇,3室2厅,南,45.5,1800,39
梅园新村(花都区),花都,旧区,4室2厅,南,74.0,3500,47
岭南公馆,花都,新区,3室2厅,北,61.0,3000,49
绿地国际空港中心,花都,镜湖大道,1室1厅,北,19.5,2200,112
豪利花园,花都,镜湖大道,3室2厅,北,50.0,3000,60
峰境园,花都,北兴镇,3室1厅,北,58.5,2000,34
碧桂园星港国际,花都,新区,2室1厅,南,28.5,2600,91
广州融创文旅城商务公寓,花都,花城街,1室1厅,东,23.5,2300,97
豪利大厦,花都,镜湖大道,1室1厅,东南,26.5,1800,67
保利和光晨樾二期,荔湾,东塱,3室2厅,东南,45.5,6000,131
广州聚福公寓,,,1室1厅,,19.0,2550,134
龙津西路,荔湾,西关,3室1厅,东,58.0,4800,82
广州聚福公寓,,,1室1厅,,21.0,2500,119
碧桂园朝花,荔湾,鹤洞,1室1厅,东南,16.0,2800,175
西华路,荔湾,西华路,1室1厅,东南,21.5,3200,148
西关大厦,荔湾,人民路,1室1厅,东南,17.5,1800,102
东浚荔景苑,荔湾,中山八,3室1厅,,56.0,6200,110
荔湖明苑,荔湾,黄沙,1室0厅,东南,15.0,1680,112
城启荔港南湾,荔湾,南岸路,3室2厅,西南,62.5,5800,92
花语水岸,荔湾,大坦沙,1室0厅,南/北,6.0,600,100
花语水岸,荔湾,大坦沙,3室2厅,东北,54.0,6000,111
中山七路,荔湾,龙津,4室1厅,北,57.0,5000,87
珠岛花园,荔湾,大坦沙,5室2厅,南/北,65.0,5800,89
顺德碧桂园彩云居,番禺,顺德碧桂园,4室2厅,南,86.5,6500,75
唯家公寓·,,,1室1厅,朝东向,17.5,1900,108
顾寓,,,,,15.0,1100,73
富丽家园乳芳园,番禺,大石,2室1厅,南/北,36.0,2400,66
奥园城市天地,番禺,汉溪长隆,2室1厅,西南,24.0,3400,141
超寓,,,1室1厅,,17.5,2180,124
海天花园,番禺,洛溪,13居室,东南卧,15.0,1400,93
珊瑚湾畔,番禺,厦滘,4室2厅,南,95.0,8300,87
塞纳河公寓,,,1室1厅,,19.75,2098,106
礼村商务楼,番禺,大石,1室1厅,南,20.0,3200,160
礼村商务楼,番禺,大石,1室1厅,南,20.0,3200,160
塞纳河公寓,,,1室1厅,,19.5,2098,107
鸿禧华庭,番禺,市桥,2室2厅,西,43.0,4300,100
保利天悦,海珠,万胜围,3室1厅,南,60.0,12000,200
珠江帝景苑合生紫龙府,海珠,滨江东,4室2厅,东/西,104.5,23000,220
碧家国际社区,,,,,13.25,1975,149
仲恺农业工程学院教工宿舍,海珠,滨江中,3室2厅,南,86.5,6500,75
粤湾公寓,,,,,15.0,1480,98
顺景雅苑,海珠,新港西,2室2厅,东北,37.5,4200,112
房东直租,,,1室1厅,,17.5,2780,158
房东直租,,,1室1厅,,59.0,2380,40
银禧花园,海珠,滨江东,4室2厅,,74.0,13000,175
本地房东,,,,,12.5,2188,175
汇美景台,海珠,滨江东,3室1厅,北,205.0,50000,243
双子星城,海珠,新港西,1室1厅,东南,61.0,3200,52
华怡花园,海珠,赤岗,2室1厅,南,41.5,4300,103
碧家国际社区,,,1室1厅,,22.5,2900,128
光明村,增城,荔城西区,3室2厅,南,60.0,2000,33
御溪世家,增城,中新镇,3室2厅,南,79.0,3000,37
人盛巴厘天地,从化,神岗镇,3室2厅,南/北,64.0,1200,18
珠光御景山水城,从化,江浦街,3室2厅,北,45.0,1300,28
碧桂园荔山雅筑,从化,赤草,3室1厅,南/北,38.0,990,26
上雅君庭,从化,太平镇,2室2厅,南/北,40.0,1500,37
珠江国际城,从化,神岗镇,3室2厅,东北,50.5,1800,35
时代印象,从化,太平镇,3室2厅,北,39.0,1800,46
时代印象,从化,太平镇,3室2厅,东南,44.0,2000,45
富力泉天下,从化,温泉镇,3室2厅,南,50.5,2100,41
珠江国际城,从化,神岗镇,3室2厅,南,58.0,1600,27
富力泉天下,从化,温泉镇,9室2厅,东南,95.5,10500,109
君源御湖城,从化,江浦街,3室2厅,东南,50.5,1300,25
方圆明月山溪,从化,温泉镇,2室2厅,南,37.5,1200,32
碧桂园荔山雅筑,从化,赤草,3室2厅,南,51.5,1800,34
保利罗兰国际,黄埔,科学城,3室2厅,北,45.0,4350,96
东山华丰大厦,越秀,东山口,4室1厅,东南,89.5,9800,109
miniG公寓,,,,,10.0,3500,350
五羊小区,越秀,五羊新城,1室1厅,南/北,17.5,3500,200
富力东山新天地,越秀,五羊新城,2室2厅,东南,43.5,7500,172
梅花路,越秀,东风东,3室2厅,南/北,43.5,5300,121
白云路,越秀,东川路,1室0厅,南,23.5,1500,63
miniG公寓,,,,,10.0,3800,380
房东直租,,,1室1厅,,21.0,2980,141
德政中路,越秀,农讲所,2室1厅,东,22.5,3300,146
凤寓,,,1室1厅,,17.5,2580,147
大南路,越秀,北京路,1室0厅,东,35.0,1500,42
大南路,越秀,北京路,1室1厅,东南,20.0,2300,115
万福楼,越秀,北京路,2室1厅,南,19.0,3800,200
绿地时代云都汇,白云,黄石,1室1厅,南,69.0,3000,43
紫荆花园,白云,新市,3室2厅,东,40.0,3500,87
渥公寓,,,1室1厅,,15.0,1600,106
保利云禧东区,白云,白云大道南,3室2厅,南,71.5,14600,204
岗贝路,白云,机场路,1室1厅,东,25.0,1700,68
穗和家园,白云,人和,2室1厅,西南,30.0,2350,78
穗和家园,白云,人和,2室1厅,西北,30.0,2600,86
东呈酒店集团,,,1室1厅,,15.0,3000,200
敏捷科创中心,白云,太和,2室1厅,,29.0,2500,86
广州轻派领寓,,,1室1厅,,14.0,1400,100
穗和家园,白云,人和,2室1厅,东南,30.0,2500,83
保利紫云,白云,新市,3室2厅,西南,52.0,6400,123
君立国际公寓,白云,同和,2室1厅,南,29.0,4500,155
保利香雪山花园,黄埔,科学城,5居室,北卧,45.0,1459,32
万科山景城,黄埔,长岭居,4室2厅,东南,42.0,5000,119
龙光峰景华庭,黄埔,科学城,4居室,北卧,24.0,1249,52
时代春树里,黄埔,香雪,5居室,北卧,9.0,1249,138
万科幸福荟,黄埔,知识城,4室2厅,南,47.0,3300,70
实地常春藤,黄埔,黄埔永和,3室2厅,南,49.5,2600,52
广州绿地中央广场,黄埔,科学城,2室1厅,南,49.5,5000,101
悦涛雅苑,黄埔,黄埔区府,5居室,北卧,17.0,1060,62
碧桂园星悦台,黄埔,黄埔永和,2室1厅,东,23.5,2800,119
佳兆业城市广场,黄埔,南岗,4室2厅,东南,45.5,4200,92
保利罗兰国际,黄埔,科学城,4居室,东卧,4.0,1291,322
万科城市花园,黄埔,文冲,5居室,西卧,52.0,1249,24
萝岗和苑,黄埔,科学城,5居室,南卧,6.0,1606,267
万科里享家,黄埔,黄埔永和,3室2厅,,39.0,2800,71
萝岗奥园广场,黄埔,香雪,2室1厅,南,51.5,2700,52
